"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","EPQPortal","Open Submitted Project","0","0","1","0","0"
"","EPQPortal","Update Vendor Under Taken","0","0","1","0","0"
"","EPQPortal","Update Experience Information","0","0","1","0","0"
"","EPQPortal","Update User Profile","0","0","1","0","0"
"","EPQPortal","Update Personal Information","0","0","1","0","0"
"","EPQPortal","Update HSE Information","0","0","1","0","0"
"","EPQPortal","Update Green Economy Information","0","0","1","0","0"
"","EPQPortal","Add Scope Project","0","0","1","0","0"
"","EPQPortal","Update Company Structure","0","0","1","0","0"
"","EPQPortal","Update Financial Information with Bank","0","0","1","0","0"
